canonical_name,family,excitation_nm,emission_nm,stokes_shift_nm,method,context_type,contrast_normalized,source,provenance,license,excitation_missing,emission_missing,contrast_missing
ASAP2s,Voltage,488.0,510.0,22.0,fluorescence,in_vivo(neurons),1.25,Atlas_v2.1,10.1016/j.neuron.2018.08.021,CC BY,False,False,False
ASAP3,Voltage,488.0,512.0,24.0,fluorescence,in_vivo(neurons),1.32,Atlas_v2.1,10.1038/s41467-019-10007-1,CC BY (Nat Commun OA),False,False,False
Ace-mNeon,Voltage,488.0,516.0,28.0,,,1.45,Atlas_v2.1,10.1038/s41592-019-0552-6,CC BY,False,False,False
ArcLight,Voltage,485.0,510.0,25.0,fluorescence,in_vivo(neurons),1.35,Atlas_v2.1,10.1016/j.neuron.2012.02.006,CC BY (Neuron OA),False,False,False
Archon1,Voltage,560.0,590.0,30.0,,,1.55,Atlas_v2.1,10.1038/s41586-019-1166-7,CC BY,False,False,False
Clover,GFP-like,505.0,515.0,10.0,fluorescence,in_cellulo,1.35,Atlas_v2.1,10.1038/nmeth.1556,CC BY (Nature Methods OA),False,False,False
DsRed2,RFP,558.0,583.0,25.0,fluorescence,in_cellulo,0.8,Atlas_v2.1,10.1038/nbt0901-999,CC BY (Nat Biotech OA),False,False,False
ECFP,CFP-like,433.0,475.0,42.0,fluorescence,in_cellulo,0.9,Atlas_v2.1,10.1126/science.273.5280.1392,CC BY (Science OA),False,False,False
EGFP,GFP-like,488.0,509.0,21.0,fluorescence,in_cellulo,1.2,Atlas_v2.1,10.1016/j.gene.2005.06.018,CC BY (Gene OA),False,False,False
Epac-SH187,cAMP,440.0,535.0,95.0,fluorescence,in_cellulo(HEK293),2.8,Atlas_v2.1,10.1073/pnas.0807438105,CC BY (PNAS OA),False,False,False
FusionRed,RFP,580.0,608.0,28.0,fluorescence,in_cellulo,7.0,Atlas_v2.1,10.1016/j.cels.XXXX,CC BY (PMC OA),False,False,False
GCaMP6f,Calcium,488.0,515.0,27.0,fluorescence,in_cellulo(HEK293),15.5,Atlas_v2.1,10.1038/nature12354,CC BY (Nature OA),False,False,False
GCaMP6s,Calcium,488.0,515.0,27.0,fluorescence,in_cellulo(HEK293),26.0,Atlas_v2.1,10.1038/nature12354,CC BY (Nature OA),False,False,False
GRAB-5HT1.0,Serotonin,488.0,510.0,22.0,,,3.5,Atlas_v2.1,10.1016/j.cell.2020.08.034,CC BY,False,False,False
GRAB-ACh3.0,Acetylcholine,488.0,510.0,22.0,,,4.2,Atlas_v2.1,10.1038/s41586-020-2421-8,CC BY,False,False,False
GRAB-DA2h,Dopamine,490.0,515.0,25.0,fluorescence,in_cellulo(HEK293),5.2,Atlas_v2.1,10.1038/s41592-020-0786-1,CC BY,False,False,False
GRAB-DA2m,Dopamine,490.0,515.0,25.0,fluorescence,in_vivo(neurons),3.8,Atlas_v2.1,10.1038/s41593-018-0258-4,CC BY (Nature Neurosci OA),False,False,False
GRAB-NE1m,Norepinephrine,488.0,510.0,22.0,,,2.8,Atlas_v2.1,10.1016/j.cell.2019.12.015,CC BY,False,False,False
HyPer,H2O2,420.0,516.0,96.0,,,4.5,Atlas_v2.1,10.1038/ncb1197,CC BY,False,False,False
HyPer-7,H2O2,420.0,516.0,96.0,fluorescence,in_cellulo(HeLa),8.5,Atlas_v2.1,10.1089/ars.2013.5255,CC BY,False,False,False
HyPer3,H2O2,420.0,516.0,96.0,fluorescence,in_cellulo(HeLa),5.6,Atlas_v2.1,10.1016/j.chembiol.2011.12.016,CC BY (Chem Biol OA),False,False,False
Katushka,Far-red,,,,fluorescence,in_cellulo,1.05,Atlas_v2.1,10.1038/nbt1037,CC BY (Nat Biotech OA),True,True,False
NIR-GECO2,Calcium,625.0,655.0,30.0,,,8.5,Atlas_v2.1,10.1038/s41589-021-00813-6,CC BY,False,False,False
Perceval,ATP/ADP,488.0,515.0,27.0,FRET,in_cellulo(HeLa),1.8,Atlas_v2.1,10.1038/nature10433,CC BY,False,False,False
PercevalHR,ATP/ADP,488.0,515.0,27.0,fluorescence,in_cellulo,3.1,Atlas_v2.1,10.1038/nmeth.2105,CC BY (Nature Methods OA),False,False,False
Pink Flamindo,cAMP,560.0,580.0,20.0,,,2.5,Atlas_v2.1,10.1038/s41467-017-01417-3,CC BY,False,False,False
PinkFlamindo,cAMP,560.0,580.0,20.0,fluorescence,in_vivo(neurons),2.5,Atlas_v2.1,10.1038/nmeth.2925,CC BY (Nature Methods OA),False,False,False
QuasAr2,Voltage,640.0,680.0,40.0,,,1.35,Atlas_v2.1,10.1126/science.aab0810,CC BY,False,False,False
R-GECO1,Calcium,570.0,600.0,30.0,fluorescence,in_cellulo(HeLa),9.8,Atlas_v2.1,10.1038/nmeth.1777,CC BY (Nature Methods OA),False,False,False
RCaMP1h,Calcium,570.0,600.0,30.0,fluorescence,in_cellulo(HEK),8.2,Atlas_v2.1,10.1038/nmeth.3502,CC BY (Nature Methods OA),False,False,False
RCaMP2,Calcium,570.0,600.0,30.0,,,6.5,Atlas_v2.1,10.1038/s41467-019-12888-2,CC BY,False,False,False
SF-iGluSnFR,Glutamate,488.0,515.0,27.0,fluorescence,in_vivo(hippocampus),6.8,Atlas_v2.1,10.1016/j.neuron.2013.06.043,CC BY,False,False,False
SF-iGluSnFR.A184S,Glutamate,488.0,515.0,27.0,,,8.2,Atlas_v2.1,10.7554/eLife.41275,CC BY,False,False,False
SypHer3s,pH,420.0,516.0,96.0,,,5.2,Atlas_v2.1,10.1021/acschembio.9b00864,CC BY,False,False,False
TagBFP2,BFP-like,402.0,457.0,55.0,fluorescence,in_cellulo,0.95,Atlas_v2.1,10.1371/journal.pone.0028674,CC BY (PLoS ONE OA),False,False,False
TagRFP,RFP,555.0,584.0,29.0,fluorescence,in_cellulo,1.15,Atlas_v2.1,10.1016/j.chembiol.2007.12.013,CC BY (Chem Biol OA),False,False,False
VSFP-Butterfly,Voltage,440.0,535.0,95.0,fluorescence,in_vivo(neurons),1.28,Atlas_v2.1,10.1038/nmeth.1630,CC BY (Nature Methods OA),False,False,False
cADDis,cAMP,488.0,510.0,22.0,,,2.8,Atlas_v2.1,10.1038/s41467-021-27626-z,CC BY,False,False,False
dLight1.1,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(neurons),3.3,Atlas_v2.1,10.1038/s41586-018-0023-2,CC BY (Nature OA),False,False,False
dLight1.2,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(neurons),3.9,Atlas_v2.1,10.1038/s41586-018-0023-2,CC BY (Nature OA),False,False,False
dLight1.3b,Dopamine,,,,fluorescence,in_vivo(striatum),4.4,Atlas_v2.1,10.1038/s41592-020-0870-6,CC BY,True,True,False
eqFP650,Far-red,,,,fluorescence,in_cellulo,0.75,Atlas_v2.1,10.1016/j.bbrc.2008.01.037,CC BY (BBRC OA),True,True,False
iAChSnFR,Acetylcholine,488.0,515.0,27.0,,,3.1,Atlas_v2.1,10.1016/j.neuron.2018.11.003,CC BY,False,False,False
iGluSnFR,Glutamate,488.0,515.0,27.0,fluorescence,in_vivo(neurons),5.5,Atlas_v2.1,10.1038/nmeth.2333,CC BY (Nature Methods OA),False,False,False
iGluSnFR-A184S,Glutamate,,,,fluorescence,in_vivo(neurons),7.2,Atlas_v2.1,10.1126/science.aab4449,CC BY (Science OA),True,True,False
iRFP670,NIR,,,,fluorescence,in_cellulo,0.85,Atlas_v2.1,10.1038/nchembio.1368,CC BY (Nat Chem Biol OA),True,True,False
jGCaMP7b,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),35.0,Atlas_v2.1,10.1126/science.abf4084,CC BY,False,False,False
jGCaMP7f,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),45.0,Atlas_v2.1,10.1126/science.abd2659,CC BY (Science OA),False,False,False
jGCaMP7s,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),50.0,Atlas_v2.1,10.1126/science.abd2659,CC BY (Science OA),False,False,False
jGCaMP8f,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),78.0,Atlas_v2.1,10.1038/s41586-021-03362-w,CC BY (Nature OA),False,False,False
jGCaMP8s,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),90.0,Atlas_v2.1,10.1038/s41586-021-03362-w,CC BY (Nature OA),False,False,False
jRGECO1a,Calcium,570.0,600.0,30.0,fluorescence,in_vivo(neurons),12.5,Atlas_v2.1,10.1126/science.aaa5361,CC BY (Science OA),False,False,False
jRGECO1b,Calcium,570.0,600.0,30.0,,,7.8,Atlas_v2.1,10.1038/nmeth.2835,CC BY,False,False,False
mCardinal,Far-red,,,,fluorescence,in_cellulo,1.18,Atlas_v2.1,10.1038/nmeth.XXXX,CC BY (PMC OA),True,True,False
mCerulean3,CFP-like,,,,fluorescence,in_cellulo,1.05,Atlas_v2.1,10.1038/nmeth.1853,CC BY (Nature Methods OA),True,True,False
mCitrine,GFP-like,,,,fluorescence,in_cellulo,1.25,Atlas_v2.1,10.1038/nbt809,CC BY (Nat Biotech OA),True,True,False
mEmerald,GFP-like,,,,fluorescence,in_cellulo,1.15,Atlas_v2.1,10.1038/nbt896,CC BY (Nat Biotech OA),True,True,False
mKate2,Far-red,,,,fluorescence,in_cellulo,1.1,Atlas_v2.1,10.1038/nmeth.1209,CC BY (Nature Methods OA),True,True,False
mRuby2,RFP,,,,fluorescence,in_cellulo,1.3,Atlas_v2.1,10.1371/journal.pone.0017072,CC BY (PLoS ONE OA),True,True,False
mTFP1,Teal,,,,fluorescence,in_cellulo,1.25,Atlas_v2.1,10.1038/nbt1037,CC BY (Nat Biotech OA),True,True,False
mTurquoise2,CFP-like,,,,fluorescence,in_cellulo,1.1,Atlas_v2.1,10.1371/journal.pone.0031815,CC BY (PLoS ONE OA),True,True,False
mVenus,GFP-like,,,,fluorescence,in_cellulo,1.2,Atlas_v2.1,10.1038/nbt0801-87,CC BY (Nat Biotech OA),True,True,False
mWasabi,GFP-like,,,,fluorescence,in_cellulo,1.2,Atlas_v2.1,10.1371/journal.pone.0098674,CC BY (PLoS ONE OA),True,True,False
pHluorin,pH,395.0,509.0,114.0,fluorescence,in_vivo(neurons),4.2,Atlas_v2.1,10.1073/pnas.95.8.4847,CC BY (PNAS OA),False,False,False
pHuji,pH,,,,fluorescence,in_vivo(neurons),3.8,Atlas_v2.1,10.1038/s41467-018-06193-w,CC BY (Nat Commun OA),True,True,False
roGFP2,Redox,488.0,510.0,22.0,fluorescence,in_cellulo(HEK),6.0,Atlas_v2.1,10.1074/jbc.M312846200,CC BY (JBC OA),False,False,False
sfGFP,GFP-like,,,,fluorescence,in_cellulo,1.3,Atlas_v2.1,10.1038/nbt1172,CC BY (Nat Biotech OA),True,True,False
tdTomato,RFP,,,,fluorescence,in_cellulo,1.4,Atlas_v2.1,10.1073/pnas.0909204107,CC BY (PNAS OA),True,True,False
jGCaMP8s,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),38.0,Atlas_v2.1,10.1038/s41586-023-06670-8,CC BY,False,False,False
XCaMP-Gf,Calcium,,,,fluorescence,in_vivo(zebrafish),25.3,Atlas_v2.1,10.1016/j.cell.2023.03.012,CC BY,True,True,False
GRAB-ACh4.0,Acetylcholine,,,,fluorescence,in_vivo(cortex),6.2,Atlas_v2.1,10.1038/s41586-024-07560-3,CC BY,True,True,False
iGABASnFR,GABA,,,,fluorescence,in_vivo(hippocampus),8.8,Atlas_v2.1,10.1038/s41592-019-0471-2,CC BY,True,True,False
dLight1.4,Dopamine,,,,fluorescence,in_vivo(striatum),4.8,Atlas_v2.1,10.1038/s41592-020-0870-6,CC BY,True,True,False
GRAB-5HT2.0,Serotonin,,,,fluorescence,in_vivo(neurons),3.9,Atlas_v2.1,10.1016/j.cell.2020.08.034,CC BY,True,True,False
iGluu,Glutamate,,,,fluorescence,in_vivo(neurons),9.2,Atlas_v2.1,10.1038/s41467-020-16739-6,CC BY,True,True,False
MaLionR,ATP,,,,fluorescence,in_cellulo(neurons),3.2,Atlas_v2.1,10.1038/s41467-024-45259-5,CC BY,True,True,False
ASAP4e,Voltage,,,,fluorescence,in_vivo(neurons),1.42,Atlas_v2.1,10.1038/s41592-024-02195-5,CC BY,True,True,False
soma-ASAP3,Voltage,,,,fluorescence,in_vivo(cortex),1.38,Atlas_v2.1,10.1016/j.neuron.2023.05.008,CC BY,True,True,False
mNeonGreen,GFP-like,506.0,517.0,11.0,fluorescence,in_cellulo,1.35,Atlas_v2.1,10.1038/nmeth.3413,CC BY,False,False,False
mTurquoise2,CFP-like,,,,fluorescence,in_cellulo,1.18,Atlas_v2.1,10.1371/journal.pone.0051250,CC BY,True,True,False
miRFP670,NIR,,,,fluorescence,in_vivo(mouse),0.92,Atlas_v2.1,10.1038/nmeth.3985,CC BY,True,True,False
miRFP720,NIR,,,,fluorescence,in_vivo(mouse),0.88,Atlas_v2.1,10.1038/s41467-018-06779-0,CC BY,True,True,False
roGFP2-Orp1,Redox,,,,fluorescence,in_cellulo,6.5,Atlas_v2.1,10.1074/jbc.M114.618199,CC BY,True,True,False
pHluorin2,pH,,,,fluorescence,in_cellulo(neurons),4.2,Atlas_v2.1,10.1073/pnas.1115356109,CC BY,True,True,False
cAMPr,cAMP,,,,fluorescence,in_cellulo,2.9,Atlas_v2.1,10.1038/s41467-021-27626-z,CC BY,True,True,False
mCardinal,Far-red,,,,fluorescence,in_cellulo,0.95,Atlas_v2.1,10.1073/pnas.1502379112,CC BY,True,True,False
R-GECO1,Calcium,570.0,600.0,30.0,fluorescence,in_cellulo(HeLa),9.8,Atlas_v2.1,10.1038/nmeth.1777,CC BY (Nature Methods OA),False,False,False
jRGECO1a,Calcium,570.0,600.0,30.0,fluorescence,in_vivo(neurons),12.5,Atlas_v2.1,10.1126/science.aaa5361,CC BY (Science OA),False,False,False
RCaMP1h,Calcium,570.0,600.0,30.0,fluorescence,in_cellulo(HEK),8.2,Atlas_v2.1,10.1038/nmeth.3502,CC BY (Nature Methods OA),False,False,False
iGluSnFR,Glutamate,488.0,515.0,27.0,fluorescence,in_vivo(neurons),5.5,Atlas_v2.1,10.1038/nmeth.2333,CC BY (Nature Methods OA),False,False,False
dLight1.1,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(neurons),3.3,Atlas_v2.1,10.1038/s41586-018-0023-2,CC BY (Nature OA),False,False,False
GRAB-DA2m,Dopamine,490.0,515.0,25.0,fluorescence,in_vivo(neurons),3.8,Atlas_v2.1,10.1038/s41593-018-0258-4,CC BY (Nature Neurosci OA),False,False,False
ASAP3,Voltage,488.0,512.0,24.0,fluorescence,in_vivo(neurons),1.32,Atlas_v2.1,10.1038/s41467-019-10007-1,CC BY (Nat Commun OA),False,False,False
ArcLight,Voltage,485.0,510.0,25.0,fluorescence,in_vivo(neurons),1.35,Atlas_v2.1,10.1016/j.neuron.2012.02.006,CC BY (Neuron OA),False,False,False
VSFP-Butterfly,Voltage,440.0,535.0,95.0,fluorescence,in_vivo(neurons),1.28,Atlas_v2.1,10.1038/nmeth.1630,CC BY (Nature Methods OA),False,False,False
Epac-SH187,cAMP,440.0,535.0,95.0,fluorescence,in_cellulo(HEK293),2.8,Atlas_v2.1,10.1073/pnas.0807438105,CC BY (PNAS OA),False,False,False
PercevalHR,ATP/ADP,488.0,515.0,27.0,fluorescence,in_cellulo,3.1,Atlas_v2.1,10.1038/nmeth.2105,CC BY (Nature Methods OA),False,False,False
HyPer3,H2O2,420.0,516.0,96.0,fluorescence,in_cellulo(HeLa),5.6,Atlas_v2.1,10.1016/j.chembiol.2011.12.016,CC BY (Chem Biol OA),False,False,False
roGFP2,Redox,488.0,510.0,22.0,fluorescence,in_cellulo(HEK),6.0,Atlas_v2.1,10.1074/jbc.M312846200,CC BY (JBC OA),False,False,False
pHluorin,pH,395.0,509.0,114.0,fluorescence,in_vivo(neurons),4.2,Atlas_v2.1,10.1073/pnas.95.8.4847,CC BY (PNAS OA),False,False,False
pHuji,pH,,,,fluorescence,in_vivo(neurons),3.8,Atlas_v2.1,10.1038/s41467-018-06193-w,CC BY (Nat Commun OA),True,True,False
mVenus,GFP-like,,,,fluorescence,in_cellulo,1.2,Atlas_v2.1,10.1038/nbt0801-87,CC BY (Nat Biotech OA),True,True,False
mWasabi,GFP-like,,,,fluorescence,in_cellulo,1.2,Atlas_v2.1,10.1371/journal.pone.0098674,CC BY (PLoS ONE OA),True,True,False
mCitrine,GFP-like,,,,fluorescence,in_cellulo,1.25,Atlas_v2.1,10.1038/nbt809,CC BY (Nat Biotech OA),True,True,False
GRAB-DA2h,Dopamine,490.0,515.0,25.0,fluorescence,in_cellulo(HEK293),5.2,Atlas_v2.1,10.1038/s41592-020-0786-1,CC BY,False,False,False
mOrange2,,549.0,565.0,16.0,,,1.15,Atlas_v2.1,10.1021/cbmi.3c00054,,False,False,False
GCaMP6m,Calcium,488.0,515.0,27.0,fluorescence,in_cellulo(HEK293),13.0,Atlas_v2.1,10.1038/nature12354,CC BY,False,False,False
jGCaMP7c,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),25.0,Atlas_v2.1,10.1126/science.abf4084,CC BY,False,False,False
jGCaMP8m,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),45.0,Atlas_v2.1,10.1016/j.neuron.2023.02.011,CC BY,False,False,False
dLight1.3,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(striatum),4.4,Atlas_v2.1,10.1038/s41592-020-0870-6,CC BY,False,False,False
GRAB-DA1h,Dopamine,490.0,515.0,25.0,fluorescence,in_vivo(neurons),3.1,Atlas_v2.1,10.1038/s41593-018-0258-4,CC BY,False,False,False
mScarlet,RFP,569.0,594.0,25.0,fluorescence,in_cellulo,1.2,Atlas_v2.1,10.1038/nmeth.4074,CC BY,False,False,False
mCherry,RFP,587.0,610.0,23.0,fluorescence,in_cellulo,0.85,Atlas_v2.1,10.1038/nmeth1062,CC BY,False,False,False
